Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Advisory Council on Libraries,"Department for Culture, Media and Sport",Advisory NDPB,No longer an NDPB,No,To advise the Secretary of State upon matters connected with the provision or use of library facilities under the Public Libraries and Museums Act 1964.,"Established 1910 (became Executive Agency 1991). The abolition was also announced as part of the Cabinet OfficeÕs Public Bodies Review on 14 October 2010.  Abolished 16th March 2015. As detailed in the Introduction section of the Government Response to the Public Consultation on the Proposed Abolition of ACL, since July 2010 DCMS has treated ACL as defunct and the terms of appointment of the 8 members of ACL have expired.","100 Parliament Street, London SW1A 2BQ",-,-,-,-,-,-,-,-,-,-,-,-,-,£0,£0,0,-,Yes,Non Ministerial,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Council on National Records and Archives,Ministry of Justice,Advisory NDPB,Retain,No,To advise the Lord Chancellor on matters relating to records and archives in the UK and in particular in England and Wales especially access to historical records and the preservation of records and manuscripts.,Established 2003.  The Advisory Council on National Records and Archives' costs are budgeted through The National Archives.   1 secretariat is employed by The National Archives and is a shared resource with the Advisory Panel on Public Sector Information.,"The National Archives, Chief ExecutiveÕs Office, Kew, Richmond, Surrey, TW9 4DU",020 8392 5337,advisorycouncilsecretary@nationalarchives.gsi.gov.uk,http://www.nationalarchives.gov.uk/advisorycouncil/default.htm,Master of the Rolls - Lord Dyson,£0,Beth Watson,Civil Servant,No,Yes,Yes,PHSO,2013-14,2013,"£4,812","£4,812",0,Costs included in NAO's audit of The National Archives,Yes,-,-,1,0,0,Ministerial ,Unpaid,12,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Council on the Misuse of Drugs (ACMD),Home Office,Advisory NDPB,Retain,No,"Advisory, statutory, NDPB as constituted under the Misuse of Drugs Act 1971.","Established 1971. Chair and membership are unremunerated posts but reimbursed for travel and subsistence. This was a single funding budget & total expenditure for the ASC, ACMD, NDNAD EG","1st Floor, Peel Bldg, 2 Marsham Street, London SW1P 4DF.  ",020 7035 1121,acmd@homeoffice.gsi.gov.uk,https://www.gov.uk/government/organisations/advisory-council-on-the-misuse-of-drugs,Professor Les Iversen,£0,Zahi Sulaiman (Secretary),Civil Servant,Yes,Yes,Yes,PHSO,2010-11,2010,"£72,000","£71,668",2,NAO,Yes,Ministerial,Unpaid,1,0,0,24 (all) ministerial,24 (all) unpaid,16,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Panel on Public Sector Information,Ministry of Justice,Advisory NDPB,Retain,No,To advise Ministers on how to encourage and create opportunities in the information industry for greater re-use of public sector information; to advise on changes and opportunities in the information industry; to review and consider complaints under the Re-use of Public Sector Information Regulations 2005 and advise on the impact of the complaints procedures under those regulations.,Established 2003.  The Advisory Panel on Public Sector Information's costs are budgeted through The National Archives.  Triennial review published February 2015 recommended abolition of the Panel once its statutory functions are replaced with new a new EU directive. Secretariat is employed by The National Archives and is a shared resource with the Advisory Council on National Records and Archives.,"The National Archives, Chief ExecutiveÕs Office, Kew, Richmond, Surrey, TW9 4DU",020 8392 5337,secretariat@appsi.gsi.gov.uk,http://www.nationalarchives.gov.uk/appsi/default.htm,Professor David Rhind CBE,"£4,000",Beth Watson,Civil Servant,No,Yes,Yes,PHSO,2010,Currently,"£9,509","£9,509",0,Costs included in NAO's audit of The National Archives,Yes,Ministerial,Paid,1,0,0,Ministerial ,Unpaid,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advisory, Conciliation and Arbitration Service (ACAS)","Department for Business, Innovation and Skills",Executive NDPB,Retain,No,The aim of Acas is to improve organisations and working life through better employment relations.,Established 1975.  CE remuneration shown is full year salary. We publish  summary minutes of Council (since July 2014).,"Acas NationalÊ(Head Office), Euston Tower, 286 Euston Road, London NW1 3JJ.",020 7210 3623,secretariat@acas.org.uk,http://www.acas.org.uk/,Sir Brendan Barber,"£75,000 - 80,000",Anne Sharp,"£110,000-115,000",No,Yes,Yes,PHSO,2013-14,2014,"£44,240,000","£50,632,000",786,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,6,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agriculture and Horticulture Development Board,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,No,Functions defined in AHDB Order 2008. Funded by agriculture industry through statutory levies with the purpose to improve the competitiveness and sustainability of the industries which fund it.,This is a levy funded body established under The Agriculture and Horticulture Board Order 2008,"AHDB, Stoneleigh Park, Kenilworth, Warwickshire CV8 2TL",024 7669 2051,info@ahdb.org.uk,http://www.ahdb.org.uk/,Sir Peter Kendall,"£50,000-£60,000",Jane King,"£130,000 - £140,000",No,Yes,Yes,PHSO,2013-14,2011,£0,"£65,205,000",487,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Animal and Plant Health Agency,"Department for Environment, Food and Rural Affairs",Executive Agency,Retain,Yes,"To safeguard animal and plant health for the benefit of people, the environment and the economy.",Established on 1 October 2014.  Chris Hadkiss became CE in October 2014 the remuneration shown is full year salary.  Alexis Cleveland is interim Chair for 12 months.  Commencing 1 October 2014 & ending 30 September 2015.  The  Animal & Plant Health Agency (APHA) is an Executive Agency bringing together some of the functions from the Food and Environment Research Agency (Fera) and the whole of the Animal Health and Veterinary Laboratories Agency (AHVLA). Last review - in process for 2014-15. ,"Animal and Plant Health Agency, Corporate Office, New Haw, Addlestone, Surrey, KT15 3NB",01932 341111,APHA.CorporateCorrespondence@apha.gsi.gov.uk,http://www.defra.gov.uk/apha-en/,Alexis Cleveland ,£500 per day,Chris Hadkiss,"£130,000 - £140,000",No,Yes,Yes,PHSO,2010-11,See notes,"£166,000,000","£214,704,000","2,010",NAO,No,Ministerial,paid,0,1,0,Ministerial,Paid,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Animals in Science Committee (ASC),Home Office,Advisory NDPB,Retain,No,To advise the Secretaries of State for the Home Office and Northern Ireland Office on their duties under the terms of the Animals (Scientific Procedures) Act 1986 as amended. It is also responsible for exchanging information with similar EU National Committees in other member states and sharing best practice within the EU on the operation of animal welfare bodies.,"Established 1 Jan 2013.  The Committee replaced the Animal Procedures Committee as per EU Directive 2010/63. Chair and membership are unremunerated posts but reimbursed for travel and subsistence. Chair and members are ministerial appointees. Secretary update: Soheel Joosab is on an extended period of leave. Caroline Wheeler is acting as Interim Secretary. This was a single funding budget for the ASC, ACMD, NDNAD EG.  This was total expenditure for the ASC, ACMD, NDNAD EG.","1st Floor, Peel Bldg, 2 Marsham Street, London SW1P 4DF.  ",020 7035 3053,asc.secretariat@homeoffice.gsi.gov.uk,https://www.gov.uk/government/organisations/animals-in-science-committee,Dr John Landers,£0,Caroline Wheeler (interim Secretary) (Soheel Joosab),Civil Servant,No,Yes,Yes,PHSO,N/A,N/A,See ACMD,See ACMD,2,NAO,Yes,Ministerial,Unpaid,1,0,0,12 (all) ministerial,12 (all) Unpaid,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armed Forces Pay Review Body,Ministry of Defence,Advisory NDPB,Retain,No,"The Armed Forces Pay Review Body is to provide independent advice to the Prime Minister and the Secretary of State for Defence on the remuneration and charges for members of the Naval, Military and Air Forces of the Crown.",Established 1971.,"8th Floor, Fleetbank House, 2-6 Salisbury Square, London, EC4Y 8JX",020 7211 8210,anne.ball@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/armed-forces-pay-review-body,Mr John Steele,£350 per day,Tony Symmonds,Civil Servant,No,No,Yes,-,2014-15,2014,"£80,700","£105,116",4,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arts and Humanities Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"To promote and support research and postgraduate training in the arts and humanities.  To encourage the wider application of, and raise the profile of, arts and humanities research.",Established 2005.  Minutes are available on request. ,"Polaris House, North Star Avenue, Swindon, Wilts SN2 1FL",01793 416000,enquiries@ahrc.ac.uk,http://www.ahrc.ac.uk/,Professor Sir Drummond Bone,"£16,430",Professor Rick Rylance,"£130,000-135,000",No,No,Yes,PHSO,2013-14,2014,"£106,545,400","£106,545,400",101,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,10,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arts Council England,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,"The national funding body for the arts, museums and libraries in England. It is responsible for developing and improving the knowledge, understanding and practise of the arts and to increase the accessibility of the arts to the public through the distribution of exchequer money from central government and revenue from the National Lottery.",Established 1946. Triennial Review scheduled for 2015. ,"21 Bloomsbury Street, London, WC1B 3HF",0845 300 6200,chiefexecutive@artscouncil.org.uk,http://www.artscouncil.org.uk/,Sir Peter Bazalgette,"£30,000",Darren Henley,"£142,838.00",Yes,Yes,Yes,PHSO,2013-14,-,"£460,721,000","£642,631,000",475,NAO,Yes,Ministerial,Paid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Big Lottery Fund,Cabinet Office and DCMS (joint accountability),Executive NDPB,Retain,No,"The Big Lottery Fund (BLF) distributes its 40% share of National Lottery good causes money to bring real improvements to communities and the lives of people most in need. While sponsored by Cabinet Office, BLF is also financially accountable to Department for Culture, Media and Sport for management of its lottery money.",Predecessor bodies established 1994 and 1997; BLF established by the National Lottery Act 2006. Nil government funding - funded from National Lottery Good Cause proceeds. Triennial Review report published June 2014.,"1 Plough Place, London, EC4A 1DE",020 7211 1800,general.enquiries@biglotteryfund.org.uk,http://www.biglotteryfund.org.uk/,Peter Ainsworth,"£28,800",Dawn Austwick,"£150,000-160,000",No,Yes,Yes,PHSO,2013-14,2014,-,"£997,178,000",853,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,6,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Biotechnology and Biological Sciences Research Council ,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Biotechnology and Biological Sciences Research Council is the UK agency for investing in research in the life sciences.  BBSRC carries out its mission by investing  research, providing training in the biosciences and fostering opportunities for knowledge to deliver growth and jobs.","Established 1994.  Triennial Review  concluded 2014, supported maintainance of BBSRC and the 6 other Research Councils, gave BBSRC a 'green' rating for governance. Public minutes - 25/03/15.","Polaris House, North Star Avenue, Swindon, Wilts, SN2 1UH",01793 413200,bbsrc.inquiries@bbsrc.ac.uk,http://www.bbsrc.ac.uk/,Professor Sir Tom Blundell,"£16,430",Professor Jackie Hunter,£140000-145000,Yes,Yes,Yes,PHSO,2013-14,2014,"£512,508,000","£528,239,000","1,356",NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,10,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Board of Trustees of the Royal Botanic Gardens Kew,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,No,To enable better management of the earth's environment by increasing knowledge and understanding of the plant and fungal kingdoms.,"Established under the Natural Heritage Act 1983.The Board of Trustees of the Royal Botanic Gardens, Kew, comprises a chair and 11 members. Ten members and the chair are appointed by the Secretary of State. Her Majesty the Queen appoints her own trustee on the recommendation of the Secretary of State.","Royal Botanic Gardens, Kew, Richmond, Surrey TW9 3AB",020 8332 5655,info@kew.org,http://www.kew.org/about-kew/index.htm,Marcus Agius,£0,Richard Deverell,"£140,000 -£150,000",No,No,Yes,PHSO,2013-14,2010,"£26,000,000","£54,300,000",746,NAO,Yes,Ministerial,Unpaid,1,0,0,"1 non-Ministerial, 10 Ministerial",Unpaid,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boundary Commission for England,Cabinet Office,Advisory NDPB,-,No,The CommissionÕs statutory function is to keep under review the distribution of constituencies in England and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944. The chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the CommissionÕs recommendations, nor in the conduct of reviews.","1 Horse Guards Road, London SW1A 2HQ",020 7276 1102,information@bcommengland.gsi.gov.uk,http://consultation.boundarycommissionforengland.independent.gov.uk/,Speaker of the House of Commons (ex officio),£0,Tony Bellringer,Civil Servant,No,Yes,Yes,PHSO,2012-13,2015,"£359,000","£314,553",3,-,Yes,Non- Ministerial,Unpaid,1,-,-,Ministerial,"2 Paid, 1 Unpaid",2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boundary Commission for Northern Ireland,Northern Ireland Office,Advisory NDPB,-,No,"The Commission's role is to keep under continuous review the number, names and boundaries of the parliamentary constituencies into which Northern Ireland is divided and to make recommendations about these to the Secretary of State for Northern Ireland.",Established 1986.  The chair of the Commission is the Speaker of the House of Commons; however in practice Commission meetings are chaired by the deputy chair.  ,"Stormont House, Stormont Estate, Belfast, BT4 3SH",0207 210 6483,electionsunit@nio.x.gsi.gov.uk,http://www.boundarycommission.org.uk/,The Hon Mr Justice McCloskey,£0,Katherine Herrick,Civil Servant,No,No,Yes,PHSO,2012-13,2015,"£59,000","£39,000",0,Part of NIO accounts,Yes,Ministerial,Unpaid,1,-,-,Ministerial,1 Paid,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boundary Commission for Scotland,Scotland Office,Advisory NDPB,Retain,No,To keep under review the boundaries of Parliamentary Constituencies in Scotland and the boundaries of the constituencies of the Scottish Parliament.,"Established 1944. The chair is the Speaker of the House of Commons, but by convention he or she does not participate in the CommissionÕs work. The deputy chair leads the Commission's work.","Thistle House, 91 Haymarket Terrace, Edinburgh, EH12 5HD",0131 538 7510,bcs@scottishboundaries.gov.uk,http://www.bcomm-scotland.independent.gov.uk/,Lord Woolman (Deputy),£0,Isabel Drummond-Murray ,Civil Servant,No,Yes,Yes,PHSO,2013-14,2015,"£79,965","£79,965",3,NAO,Yes,Non Ministerial,Unpaid,1,-,-,2 Ministerial,Paid,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boundary Commission for Wales,Cabinet Office,Advisory NDPB,-,No,The CommissionÕs statutory function is to keep under review the distribution of constituencies in Wales and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944. The chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the CommissionÕs recommendations, nor in the conduct of reviews.","Ground Floor, Hastings House, Fitzalan Place, Cardiff, CF24 OBL",02920 464819,bcomm.wales@wales.gsi.gov.uk,http://bcomm-wales.gov.uk,Speaker of the House of Commons (ex officio),£0,Steve Halsall,Civil Servant,No,Yes,Yes,PHSO,2012-13,2015,"£100,000","£90,385",2,-,Yes,Non- Ministerial,Unpaid,1,-,-,Ministerial,"2 Paid, 1 Unpaid",3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,British Council,Foreign and Commonwealth Office,Executive NDPB,Retain,No,To create international opportunities for the people of the UK and other countries and build trust between them worldwide.,"Established 1934.  Triennial Review undertaken in 2014. The chair is elected by the Board and the appointment is non-Ministerial, but must be approved by the Secretary of State for Foreign and Commonwealth Affairs.  (This is FY 2014-15 FCO grant-in-aid. The value of contracts with government departments is not separately identified in our audited accounts.)","British Council, 10 Spring Gardens, London, SW1A 2BN",0161 957 7755,general.enquiries@britishcouncil.org,http://www.britishcouncil.org/,Sir Vernon Ellis,£0,Sir Ciarn Devane,"2014-15 Full Year Equivalent: £185,000*",No,Yes,Yes,PHSO,2013-14,2014,"£154,880,000","£972,000,000","8,708",NAO,No,Non Ministerial,Unpaid,-,-,1,"No ministerial appointments however both the Chair and the Deputy Chair, who are elected by the Board, must be approved by the Secretary of State for Foreign and Commonwealth Affairs. ",All Unpaid,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
